hypothesis_id,yaml_path,strategy_name,strategy_file,status,has_decision_trace,has_state_snapshot,has_reason_code,has_setup_class,has_conditions_bool_map,has_blockers_bool_map,has_gate_margins,has_parameter_trace,has_signal_metadata,supports_enriched_state_snapshot,has_funding_state_fields,has_oi_state_fields,has_basis_state_fields,has_csi_source_field,preserves_signal_metadata,expected_structural_bucket_fields,expected_enriched_state_fields,enriched_state_missing_requirements,missing_requirements,notes
L1-H11A,research/hypotheses/l1_h11a.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H11A-REFINED,research/hypotheses/l1_h11a_refined.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H11B,research/hypotheses/l1_h11b.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H11B-REFINED,research/hypotheses/l1_h11b_refined.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H11C,research/hypotheses/l1_h11c.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H11C-REFINED,research/hypotheses/l1_h11c_refined.yaml,l1_h11_quality_filtered_continuation,src/bt/strategy/l1_h11_quality_filtered_continuation.py,compliant,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H1,research/hypotheses/l1_h1_vol_floor_trend.yaml,l1_h1_vol_floor_trend,src/bt/strategy/l1_h1_vol_floor_trend.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H1B,research/hypotheses/l1_h1b_salvage_trend.yaml,l1_h1b_salvage,src/bt/strategy/l1_h1b_salvage.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H1C,research/hypotheses/l1_h1c_volfloor_ema_pullback.yaml,volfloor_ema_pullback,src/bt/strategy/volfloor_ema_pullback.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H2,research/hypotheses/l1_h2_compression_mean_reversion.yaml,l1_h2_compression_mean_reversion,src/bt/strategy/l1_h2_compression_mean_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H3,research/hypotheses/l1_h3_har_rv_gate_trend.yaml,l1_h3_har_rv_gate_trend,src/bt/strategy/l1_h3_har_rv_gate_trend.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H3B,research/hypotheses/l1_h3b_har_rv_gate_mean_reversion.yaml,l1_h3b_har_rv_gate_mean_reversion,src/bt/strategy/l1_h3b_har_rv_gate_mean_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H4A,research/hypotheses/l1_h4a_liquidity_gate_mean_reversion.yaml,l1_h4a_liquidity_gate_mean_reversion,src/bt/strategy/l1_h4a_liquidity_gate_mean_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H4B,research/hypotheses/l1_h4b_liquidity_gate_size_adjusted_mean_reversion.yaml,l1_h4b_liquidity_gate_size_adjusted_mean_reversion,src/bt/strategy/l1_h4b_liquidity_gate_size_adjusted_mean_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H5A,research/hypotheses/l1_h5a_vol_managed_trend.yaml,l1_h5a_vol_managed_trend,src/bt/strategy/l1_h5a_vol_managed_trend.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H5B,research/hypotheses/l1_h5b_vol_managed_har_trend.yaml,l1_h5b_vol_managed_har_trend,src/bt/strategy/l1_h5b_vol_managed_har_trend.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
L1-H6A,research/hypotheses/l1_h6a_vov_gate_mean_reversion.yaml,l1_h6a_vov_gate_mean_reversion,src/bt/strategy/l1_h6a_vov_gate_mean_reversion.py,compliant,True,False,True,True,True,True,True,True,True,True,False,False,False,False,True,"entry_state_csi_pctile,entry_state_vol_pctile,entry_state_spread_proxy_pctile,entry_state_tr_over_atr,entry_decision_setup_class","entry_state_funding_raw,entry_state_funding_pctile,entry_state_oi_level,entry_state_oi_accel_pctile,entry_state_basis_pctile,entry_state_csi_source",,,Engine-level metadata fallback may provide decision trace/state snapshot.
